Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Sex,Country,Timestamp,Clicked on Ad
82.03,41,71511.08,187.53,Intuitive dynamic attitude,Pruittmouth,Female,Afghanistan,2016-05-02 07:00:58,No
54.7,36,31087.54,118.39,Grass-roots solution-oriented conglomeration,Jessicastad,Male,British Indian Ocean Territory (Chagos Archipelago),2016-02-13 07:53:55,Yes
74.58,40,23821.72,135.51,Advanced 24/7 productivity,Millertown,Male,Russian Federation,2016-02-27 04:43:07,Yes
77.22,30,64802.33,224.44,Object-based reciprocal knowledgebase,Port Jacqueline,Male,Cameroon,2016-01-05 07:52:48,No
84.59,35,60015.57,226.54,Streamlined non-volatile analyzer,Lake Nicole,Male,Cameroon,2016-03-18 13:22:35,No
41.49,52,32635.7,164.83,Mandatory disintermediate utilization,South John,Female,Burundi,2016-05-20 08:49:33,Yes
87.29,36,61628.72,209.93,Future-proofed methodical protocol,Pamelamouth,Male,Korea,2016-03-23 09:43:43,No
41.39,41,68962.32,167.22,Exclusive neutral parallelism,Harperborough,Female,Tokelau,2016-06-13 17:27:09,Yes
78.74,28,64828.0,204.79,Public-key foreground groupware,Port Danielleberg,Male,Monaco,2016-05-27 15:25:52,No
48.53,28,38067.08,134.14,Ameliorated client-driven forecast,West Jeremyside,Male,Tuvalu,2016-02-08 10:46:14,Yes
51.95,52,58295.82,129.23,Monitored systematic hierarchy,South Cathyfurt,Female,Greece,2016-07-19 08:32:10,Yes
70.2,34,32708.94,119.2,Open-architected impactful productivity,Palmerside,Female,British Virgin Islands,2016-04-14 05:08:35,Yes
76.02,22,46179.97,209.82,Business-focused value-added definition,West Guybury,Female,Bouvet Island (Bouvetoya),2016-01-27 12:38:16,No
67.64,35,51473.28,267.01,Programmable asymmetric data-warehouse,Phelpschester,Male,Peru,2016-07-02 20:23:15,No
86.41,28,45593.93,207.48,Digitized static capability,Lake Melindamouth,Male,Aruba,2016-03-01 22:13:37,No
59.05,57,25583.29,169.23,Digitized global capability,North Richardburgh,Male,Maldives,2016-07-15 05:05:14,Yes
55.6,23,30227.98,212.58,Multi-layered 4thgeneration knowledge user,Port Cassie,Female,Senegal,2016-01-14 14:00:09,Yes
57.64,57,45580.92,133.81,Synchronized dedicated service-desk,New Thomas,Male,Dominica,2016-03-15 03:12:25,Yes
84.37,30,61389.5,201.58,Synchronized systemic hierarchy,Johnstad,Female,Luxembourg,2016-04-12 03:26:39,No
62.26,53,56770.79,125.45,Profound stable product,West Aprilport,Male,Montenegro,2016-04-07 15:18:10,Yes
65.82,39,76435.3,221.94,Reactive demand-driven capacity,Kellytown,Female,Ukraine,2016-02-09 05:28:18,No
50.43,46,57425.87,119.32,Persevering needs-based open architecture,Charlesport,Male,Saint Helena,2016-05-07 17:11:49,Yes
38.93,39,27508.41,162.08,Intuitive exuding service-desk,Millerchester,Female,Liberia,2016-03-11 06:49:10,Yes
84.98,29,57691.95,202.61,Innovative user-facing extranet,Mackenziemouth,Female,Russian Federation,2016-04-27 09:27:58,No
64.24,30,59784.18,252.36,Front-line intermediate database,Zacharystad,Female,Tunisia,2016-04-16 11:53:43,No
82.52,32,66572.39,198.11,Persevering exuding system engine,North Joshua,Male,Turkmenistan,2016-05-08 15:38:46,No
81.38,31,64929.61,212.3,Balanced dynamic application,Bowenview,Female,Saint Helena,2016-02-08 00:23:38,No
80.47,25,57519.64,204.86,Reduced global support,Jamesberg,Female,Niger,2016-02-11 13:26:22,No
37.68,52,53575.48,172.83,Organic leadingedge secured line,Lake Cassandraport,Male,Turkmenistan,2016-02-17 13:16:33,Yes
69.62,20,50983.75,202.25,Business-focused encompassing neural-net,New Sharon,Male,Qatar,2016-02-26 22:46:43,No
85.4,43,67058.72,198.72,Triple-buffered demand-driven alliance,Johnport,Female,Sri Lanka,2016-06-08 18:54:01,No
44.33,37,52723.34,123.72,Visionary maximized process improvement,Hamiltonfort,Male,Trinidad and Tobago,2016-01-08 09:32:26,Yes
48.01,46,54286.1,119.93,Centralized 24/7 installation,West Christopher,Female,Italy,2016-04-25 11:01:54,Yes
73.18,23,61526.25,196.71,Organized static focus group,Hollandberg,Male,British Virgin Islands,2016-04-04 07:07:46,No
79.94,28,58526.04,225.29,Visionary reciprocal circuit,Odomville,Female,United Kingdom,2016-05-03 21:19:58,No
33.33,45,53350.11,193.58,Pre-emptive value-added workforce,East Samanthashire,Male,Guinea-Bissau,2016-01-17 09:31:36,Yes
50.33,50,62657.53,133.2,Sharable analyzing alliance,South Lauraton,Male,Micronesia,2016-03-02 04:57:51,Yes
62.31,47,62722.57,119.3,Team-oriented encompassing portal,Amandahaven,Female,Turkey,2016-02-14 07:36:58,Yes
80.6,31,67479.62,177.55,Sharable bottom-line solution,Thomasview,Female,Croatia,2016-04-07 03:56:16,No
65.19,36,75254.88,150.61,Cross-group regional website,Garciaside,Female,Israel,2016-02-17 11:42:00,Yes
44.98,49,52336.64,129.31,Organized global model,Port Sarahshire,Female,Svalbard & Jan Mayen Islands,2016-04-10 00:13:47,Yes
77.63,29,56113.37,239.22,Upgradable asynchronous circuit,Port Gregory,Female,Azerbaijan,2016-02-14 17:05:15,No
41.82,41,24852.9,156.36,Phased transitional instruction set,Brendachester,Female,Iran,2016-05-26 22:49:47,Yes
85.61,27,47708.42,183.43,Customer-focused empowering ability,Lake Amy,Female,Burundi,2016-04-30 08:07:13,No
85.84,34,64654.66,192.93,Front-line heuristic data-warehouse,Lake Annashire,Male,Saint Vincent and the Grenadines,2016-06-15 05:30:13,No
72.08,29,71228.44,169.5,Stand-alone national attitude,Smithburgh,Female,Burundi,2016-03-09 14:45:33,No
86.06,32,61601.05,178.92,Focused upward-trending core,North Leonmouth,Male,Bulgaria,2016-03-31 20:55:22,No
45.96,45,66281.46,141.22,Streamlined cohesive conglomeration,Robertfurt,Female,Christmas Island,2016-06-03 00:55:23,Yes
62.42,29,73910.9,198.5,Upgradable optimizing toolset,Jasminefort,Male,Canada,2016-03-10 23:36:03,No
63.89,40,51317.33,105.22,Synchronized user-facing core,Jensenborough,Female,Rwanda,2016-01-08 00:17:27,Yes
35.33,32,51510.18,200.22,Organized client-driven alliance,Bradleyburgh,Female,Turks and Caicos Islands,2016-06-05 22:11:34,Yes
75.74,25,61005.87,215.25,Ergonomic multi-state structure,New Sheila,Male,Tunisia,2016-01-16 11:35:01,No
78.53,34,32536.98,131.72,Synergized multimedia emulation,North Regina,Female,Norfolk Island,2016-04-22 20:10:22,Yes
46.13,31,60248.97,139.01,Customer-focused optimizing moderator,Davidmouth,Female,Bouvet Island (Bouvetoya),2016-02-01 09:00:55,Yes
69.01,46,74543.81,222.63,Advanced full-range migration,New Michaeltown,Female,Turks and Caicos Islands,2016-07-07 13:37:34,No
55.35,39,75509.61,153.17,De-engineered object-oriented protocol,East Tammie,Male,Cook Islands,2016-03-08 00:37:54,Yes
33.21,43,42650.32,167.07,Polarized clear-thinking budgetary management,Wilcoxport,Male,Turkey,2016-05-10 17:39:06,Yes
38.46,42,58183.04,145.98,Customizable 6thgeneration knowledge user,East Michaelmouth,Male,Guatemala,2016-04-06 11:24:21,Yes
64.1,22,60465.72,215.93,Seamless object-oriented structure,East Tiffanyport,Female,Cote d'Ivoire,2016-04-01 16:21:05,No
49.81,35,57009.76,120.06,Seamless real-time array,Ramirezhaven,Male,Faroe Islands,2016-01-05 04:18:46,Yes
82.73,33,54541.56,238.99,Grass-roots impactful system engine,Cranemouth,Male,Qatar,2016-05-20 21:31:24,No
56.14,38,32689.04,113.53,Devolved tangible approach,Lake Edward,Male,Ireland,2016-02-03 07:59:16,Yes
55.13,45,55605.92,111.71,Customizable executive software,Lake Conniefurt,Female,Ukraine,2016-02-17 21:55:29,Yes
78.11,27,63296.87,209.25,Progressive analyzing attitude,East Shawnchester,Male,Moldova,2016-01-30 16:10:04,No
73.46,28,65653.47,222.75,Innovative executive encoding,West Joseph,Male,Nicaragua,2016-05-15 14:41:49,No
56.64,38,61652.53,115.91,Down-sized uniform info-mediaries,Lake Christopherfurt,Female,Montserrat,2016-01-05 17:56:52,Yes
68.94,54,30726.26,138.71,Streamlined next generation implementation,East Tylershire,Female,Timor-Leste,2016-04-19 07:34:28,Yes
70.79,31,74535.94,184.1,Distributed tertiary system engine,Sharpberg,Female,Bouvet Island (Bouvetoya),2016-03-15 15:49:14,No
57.76,41,47861.93,105.15,Triple-buffered scalable groupware,Lake Dustin,Female,Puerto Rico,2016-06-12 15:25:44,Yes
77.51,36,73600.28,200.55,Total 5thgeneration encoding,North Kristine,Female,Central African Republic,2016-07-01 04:41:57,No
52.7,34,58543.94,118.6,Integrated human-resource encoding,Grahamberg,Male,Venezuela,2016-05-08 12:12:04,Yes
57.7,34,42696.67,109.07,Phased dynamic customer loyalty,New Tina,Female,Australia,2016-03-14 23:13:11,Yes
56.89,37,37334.78,109.29,Open-source coherent policy,Nelsonfurt,Male,Wallis and Futuna,2016-05-25 00:19:57,Yes
69.9,43,71392.53,138.35,Down-sized modular intranet,Christopherport,Female,Jersey,2016-05-13 11:51:10,Yes
55.79,24,59550.05,149.67,Pre-emptive content-based focus group,Port Sarahhaven,Female,Puerto Rico,2016-02-20 20:47:05,Yes
70.03,26,64264.25,227.72,Versatile 4thgeneration system engine,Bradleyborough,Male,Samoa,2016-05-22 20:49:37,No
50.08,40,64147.86,125.85,Ergonomic full-range time-frame,Whiteport,Male,Greece,2016-04-10 02:02:36,Yes
43.67,31,25686.34,166.29,Automated directional function,New Theresa,Male,Antarctica (the territory South of 60 deg S),2016-02-28 06:41:44,Yes
72.84,26,52968.22,238.63,Progressive empowering alliance,Wongland,Female,Albania,2016-07-08 21:18:32,No
45.72,36,22473.08,154.02,Versatile homogeneous capacity,Williammouth,Male,Hong Kong,2016-04-19 15:14:58,Yes
39.94,41,64927.19,156.3,Function-based optimizing protocol,Williamsborough,Female,Lithuania,2016-01-08 22:47:10,Yes
35.61,46,51868.85,158.22,Up-sized secondary software,North Michael,Female,Egypt,2016-03-28 08:46:26,Yes
79.71,34,69456.83,211.65,Seamless holistic time-frame,Benjaminchester,Male,Bangladesh,2016-07-02 14:57:53,No
41.49,53,31947.65,169.18,Persevering reciprocal firmware,Hernandezville,Female,Western Sahara,2016-07-03 09:22:30,Yes
63.6,23,51864.77,235.28,Centralized logistical secured line,Youngburgh,Male,Serbia,2016-06-01 09:27:34,No
89.91,40,59593.56,194.23,Innovative background conglomeration,Wallacechester,Female,Maldives,2016-07-09 14:55:36,No
68.18,21,48376.14,218.17,Switchable 3rdgeneration hub,Sanchezmouth,Male,Czech Republic,2016-02-09 22:04:54,No
66.49,20,56884.74,202.16,Polarized 6thgeneration info-mediaries,Bradshawborough,Female,Guernsey,2016-06-10 11:31:33,No
80.49,40,67186.54,229.12,Balanced heuristic approach,Amyhaven,Male,Tanzania,2016-02-14 03:50:52,No
72.23,25,46557.92,241.03,Focused 24hour implementation,Marcushaven,Male,Bhutan,2016-07-05 17:17:49,No
42.39,42,66541.05,150.99,De-engineered mobile infrastructure,Erinton,Female,Christmas Island,2016-04-28 05:50:25,Yes
47.53,30,33258.09,135.18,Customer-focused upward-trending contingency,Hughesport,Female,Guinea,2016-04-03 05:10:31,Yes
74.02,32,72272.9,210.54,Operative system-worthy protocol,Johnstad,Female,Micronesia,2016-03-09 14:57:11,No
66.63,60,60333.38,176.98,User-friendly upward-trending intranet,New Lucasburgh,Female,Madagascar,2016-01-16 23:37:51,Yes
63.24,53,65229.13,235.78,Future-proofed holistic superstructure,Michelleside,Male,Lebanon,2016-07-03 04:33:41,Yes
71.0,22,56067.38,211.87,Extended systemic policy,Andersonton,Female,Eritrea,2016-03-14 06:46:14,No
46.13,46,37838.72,123.64,Horizontal hybrid challenge,New Rachel,Male,Guyana,2016-01-09 05:44:56,Yes
69.0,32,72683.35,221.21,Virtual composite model,Port Susan,Male,Trinidad and Tobago,2016-02-11 04:37:34,No
76.99,31,56729.78,244.34,Switchable mobile framework,West Angelabury,Male,Jersey,2016-06-22 07:33:21,No
72.6,55,66815.54,162.95,Focused intangible moderator,Port Christopherborough,Female,United Arab Emirates,2016-07-13 16:12:24,Yes
61.88,42,60223.52,112.19,Balanced actuating moderator,Phillipsbury,Male,Martinique,2016-07-23 11:46:28,Yes
84.45,50,29727.79,207.18,Customer-focused transitional strategy,Millerside,Female,Somalia,2016-07-13 04:10:53,Yes
88.97,45,49269.98,152.49,Advanced web-enabled standardization,Lake Jessica,Female,Bhutan,2016-06-11 18:32:12,Yes
86.19,31,57669.41,210.26,Pre-emptive executive knowledgebase,Lopezmouth,Male,Greece,2016-05-08 12:51:00,No
49.58,26,56791.75,231.94,Self-enabling holistic process improvement,Johnsport,Female,Benin,2016-04-07 16:02:02,No
77.65,27,63274.88,212.79,Horizontal client-driven hierarchy,South Ronald,Female,Papua New Guinea,2016-02-04 13:30:32,No
37.75,36,35466.8,225.24,Polarized dynamic throughput,South Daniel,Female,Uzbekistan,2016-02-26 19:48:23,Yes
62.33,43,68787.09,127.11,Devolved zero administration intranet,Suzannetown,Female,South Africa,2016-06-21 13:15:21,Yes
79.57,31,61227.59,230.93,User-friendly asymmetric info-mediaries,Lisaberg,Female,Egypt,2016-05-17 04:27:31,No
80.31,44,56366.88,127.07,Cross-platform regional task-force,Brianfurt,Female,Hungary,2016-04-18 15:54:33,Yes
89.05,45,57868.44,206.98,Polarized bandwidth-monitored moratorium,Stewartbury,Female,Falkland Islands (Malvinas),2016-04-03 10:07:56,No
70.41,27,66618.21,223.03,Centralized systematic knowledgebase,Benjaminchester,Female,Dominica,2016-04-04 21:30:46,No
67.36,37,73104.47,233.56,Future-proofed grid-enabled implementation,North Wesleychester,Female,Jersey,2016-07-06 16:00:33,No
46.98,50,21644.91,175.37,Down-sized well-modulated archive,East Michelleberg,Female,Lithuania,2016-05-04 09:00:24,Yes
41.67,36,53817.02,132.55,Realigned zero tolerance emulation,Port Eric,Female,Saint Martin,2016-06-13 18:50:00,Yes
51.24,36,76368.31,176.73,Versatile transitional monitoring,Timothyfurt,Female,Cuba,2016-01-03 16:01:40,Yes
75.7,29,67633.44,215.44,Profound zero administration instruction set,Port Jeffrey,Female,United States Minor Outlying Islands,2016-01-14 00:23:10,No
43.49,47,50335.46,127.83,User-centric intangible task-force,Guzmanland,Female,Belize,2016-01-12 10:07:29,Yes
49.89,39,17709.98,160.03,Enhanced system-worthy application,East Michele,Male,Belize,2016-04-16 12:09:25,Yes
38.37,36,41229.16,140.46,Multi-layered user-facing paradigm,East John,Female,Antarctica (the territory South of 60 deg S),2016-05-13 06:09:28,Yes
38.52,38,42581.23,137.28,Customer-focused 24/7 concept,Lesliebury,Male,Saint Vincent and the Grenadines,2016-03-27 23:59:06,Yes
71.89,23,61617.98,172.81,Function-based transitional complexity,Patriciahaven,Male,Kuwait,2016-02-03 23:47:56,No
75.8,38,70575.6,146.19,Progressive clear-thinking open architecture,Ashleychester,Male,Thailand,2016-04-18 11:23:05,No
83.86,31,64122.36,190.25,Up-sized executive moderator,Lake Josetown,Female,Gibraltar,2016-02-05 19:06:01,No
37.51,30,52097.32,163.0,Re-contextualized optimal service-desk,Debraburgh,Male,Holy See (Vatican City State),2016-03-21 18:46:41,Yes
55.6,44,65953.76,124.38,Fully-configurable neutral open system,New Debbiestad,Male,Korea,2016-06-14 11:59:58,Yes
83.67,44,60192.72,234.26,Upgradable system-worthy array,West Shaun,Male,Saint Helena,2016-02-06 23:08:57,No
69.08,41,77460.07,210.6,Ergonomic client-driven application,Kimberlyhaven,Female,Turks and Caicos Islands,2016-03-12 01:39:19,No
37.47,44,45716.48,141.89,Realigned content-based leverage,Port Lawrence,Male,Czech Republic,2016-01-26 03:56:18,Yes
56.04,49,65120.86,128.95,Decentralized real-time circuit,West Ricardo,Male,Netherlands,2016-02-07 08:02:31,Yes
70.92,41,49995.63,108.16,Polarized modular function,Lake Jose,Male,Belarus,2016-05-05 07:58:22,Yes
49.78,46,71718.51,152.24,Enterprise-wide client-driven contingency,Heatherberg,Female,Dominica,2016-06-29 02:43:29,Yes
68.61,57,61770.34,150.29,Diverse modular interface,South George,Female,South Africa,2016-04-10 19:48:01,Yes
58.18,25,69112.84,176.28,Polarized analyzing concept,Tinachester,Male,New Zealand,2016-02-10 06:37:56,No
78.54,35,72524.86,172.1,Multi-channeled asynchronous open system,Port Jodi,Female,Togo,2016-05-28 20:41:50,No
37.0,48,36782.38,158.22,Function-based context-sensitive secured line,Jonathantown,Male,Kenya,2016-03-24 06:36:52,Yes
65.4,33,66699.12,247.31,Adaptive 24hour Graphic Interface,Sylviaview,Female,Palau,2016-02-12 22:51:08,No
79.52,27,64287.78,183.48,Automated coherent flexibility,East Timothyport,Male,Timor-Leste,2016-06-10 10:11:00,No
87.98,38,56637.59,222.11,Focused scalable complexity,West Roytown,Male,Cambodia,2016-03-31 10:44:46,No
44.64,36,55787.58,127.01,Up-sized incremental encryption,Codyburgh,Female,Belize,2016-02-14 06:51:43,Yes
41.73,28,61142.33,202.18,Sharable dedicated Graphic Interface,Port Erikhaven,Male,Cuba,2016-01-07 19:16:05,Yes
80.46,27,61625.87,207.96,Digitized zero administration paradigm,Port Chasemouth,Male,Costa Rica,2016-02-04 02:13:52,No
75.55,36,73234.87,159.24,Managed grid-enabled standardization,Ramirezside,Female,Liechtenstein,2016-05-09 02:58:58,Yes
76.32,35,74166.24,195.31,Networked foreground definition,East Michaeltown,Male,Korea,2016-06-23 00:16:02,No
82.68,33,62669.59,222.77,Re-engineered exuding frame,West Courtney,Male,Ukraine,2016-06-20 09:35:02,No
72.01,31,57756.89,251.0,Horizontal multi-state interface,West Michaelhaven,Female,Angola,2016-02-29 12:31:57,No
75.83,24,58019.64,162.44,Diverse stable circuit,Walshhaven,Female,Nauru,2016-01-17 15:10:31,No
41.28,50,50960.08,140.39,Universal 24/7 implementation,East Rachelview,Female,Equatorial Guinea,2016-01-29 03:54:19,Yes
34.66,32,48246.6,194.83,Customer-focused multi-tasking Internet solution,Curtisport,Female,Mongolia,2016-07-14 12:07:10,Yes
66.18,55,28271.84,143.42,Vision-oriented contextually-based extranet,Frankbury,Female,Svalbard & Jan Mayen Islands,2016-01-10 23:14:30,Yes
86.06,31,53767.12,219.72,Extended local methodology,Timothytown,Male,Timor-Leste,2016-04-28 18:34:56,No
59.59,42,43662.1,104.78,Re-engineered demand-driven capacity,Samanthaland,Male,Brazil,2016-07-06 18:36:01,Yes
86.69,34,62238.58,198.56,Customer-focused attitude-oriented instruction set,South Jennifer,Female,Chad,2016-05-27 06:19:27,No
43.77,52,49030.03,138.55,Synergized hybrid time-frame,Kyleborough,Male,Portugal,2016-01-25 07:39:41,Yes
71.84,47,76003.47,199.79,Advanced exuding conglomeration,North Randy,Male,Malawi,2016-05-08 22:47:18,No
80.23,31,68094.85,196.23,Secured clear-thinking middleware,South Daniellefort,Female,Qatar,2016-03-19 14:23:45,No
74.41,26,64395.85,163.05,Right-sized value-added initiative,Dianashire,Female,Singapore,2016-07-23 04:37:05,No
63.36,48,70053.27,137.43,Centralized tertiary pricing structure,East Eric,Female,Guinea,2016-06-23 01:22:43,Yes
71.74,35,72423.97,227.56,Multi-channeled reciprocal artificial intelligence,Hammondport,Female,Kazakhstan,2016-07-19 18:06:22,No
60.72,44,42995.8,105.69,Synergized context-sensitive database,Jacobstad,Female,Kuwait,2016-02-28 18:52:44,Yes
72.04,22,60309.58,199.43,Realigned systematic function,Hernandezfort,Female,Rwanda,2016-02-10 06:52:07,No
44.57,31,38349.78,133.17,Adaptive context-sensitive application,Joneston,Male,China,2016-03-27 09:11:10,Yes
85.86,34,63115.34,208.23,Networked high-level structure,New Jeffreychester,Female,Bouvet Island (Bouvetoya),2016-05-23 02:15:04,No
39.85,38,31343.39,145.96,Profit-focused dedicated utilization,East Stephen,Female,Vietnam,2016-01-03 03:22:15,Yes
84.53,27,40763.13,168.34,Stand-alone tangible moderator,Turnerchester,Female,Guatemala,2016-01-04 21:48:38,Yes
62.95,60,36752.24,157.04,Polarized tangible collaboration,Youngfort,Female,Peru,2016-05-24 13:30:38,Yes
67.58,41,65044.59,255.61,Focused high-level conglomeration,Ingramberg,Male,Mayotte,2016-02-01 19:42:40,No
85.56,29,53673.08,210.46,Advanced modular Local Area Network,South Denisefurt,Female,Samoa,2016-06-05 13:16:24,No
46.88,54,43444.86,136.64,Virtual scalable secured line,Port Melissaberg,Female,Singapore,2016-02-04 08:53:37,Yes
46.31,57,44248.52,153.98,Front-line fault-tolerant intranet,Bernardton,Male,Jamaica,2016-03-24 13:37:53,Yes
77.95,31,62572.88,233.65,Inverse asymmetric instruction set,Port Mathew,Male,Bahamas,2016-06-02 21:02:22,No
84.73,30,39840.55,153.76,Synchronized leadingedge help-desk,Aliciatown,Female,Canada,2016-02-21 07:42:48,Yes
39.86,36,32593.59,145.85,Total 5thgeneration standardization,Josephstad,Female,Algeria,2016-06-26 17:16:26,Yes
50.08,30,41629.86,123.91,Sharable grid-enabled matrix,West Ericfurt,Female,Fiji,2016-01-03 05:34:33,Yes
60.23,35,43313.73,106.86,Balanced asynchronous hierarchy,New Brendafurt,Female,Kenya,2016-03-08 18:00:43,Yes
60.7,49,42993.48,110.57,Monitored object-oriented Graphic Interface,Port Julie,Male,Argentina,2016-06-19 03:19:44,Yes
43.67,53,46004.31,143.79,Cloned analyzing artificial intelligence,South Tiffanyton,Male,Bouvet Island (Bouvetoya),2016-07-21 21:16:35,Yes
77.2,33,49325.48,254.05,Persistent homogeneous framework,North Elizabeth,Male,Philippines,2016-02-12 20:36:40,No
71.86,32,51633.34,116.53,Face-to-face even-keeled website,Kentmouth,Female,Senegal,2016-05-17 06:14:20,Yes
44.78,45,63363.04,137.24,Extended context-sensitive monitoring,West Casey,Male,Suriname,2016-07-09 11:04:54,Yes
78.57,36,64045.93,239.32,Exclusive client-driven model,East Henry,Male,Liberia,2016-03-27 02:35:29,No
73.41,31,73049.3,201.26,Profound executive flexibility,Hollyfurt,Male,Guam,2016-01-16 08:01:40,No
77.05,27,66624.6,191.14,Reduced bi-directional strategy,North Anna,Female,United Arab Emirates,2016-01-21 23:48:29,No
66.4,40,77567.85,214.42,Digitized heuristic solution,Port Destiny,Female,Antigua and Barbuda,2016-06-05 00:29:13,No
69.35,29,53431.35,252.77,Seamless 4thgeneration contingency,Ianmouth,Male,Argentina,2016-02-13 15:37:36,No
35.65,40,31265.75,172.58,Seamless intangible secured line,North Johntown,Male,Georgia,2016-05-10 07:22:37,Yes
70.04,31,74780.74,183.85,Intuitive radical forecast,Hannahside,Male,Jordan,2016-03-27 03:59:26,No
69.78,29,70410.11,218.79,Multi-layered non-volatile Graphical User Interface,Wilsonburgh,Female,Saudi Arabia,2016-05-24 18:35:58,No
58.22,29,37345.24,120.9,User-friendly client-server instruction set,North Russellborough,Female,South Africa,2016-02-11 02:40:02,Yes
76.9,28,66107.84,212.67,Synchronized multimedia model,Murphymouth,Female,Croatia,2016-04-22 08:31:24,No
84.08,30,62336.39,187.36,Face-to-face intermediate approach,Carterburgh,Male,Fiji,2016-01-13 02:58:27,No
59.51,58,39132.64,140.83,Assimilated fault-tolerant hub,Penatown,Female,Australia,2016-06-16 02:01:24,Yes
40.15,38,38745.29,134.88,Exclusive disintermediate task-force,Joechester,Male,Sao Tome and Principe,2016-06-27 18:37:04,Yes
76.81,28,65172.22,217.85,Managed zero tolerance concept,East Paul,Male,Fiji,2016-07-03 12:57:03,No
41.89,38,68519.96,163.38,Compatible systemic function,Hartmanchester,Female,Cyprus,2016-02-03 04:21:14,Yes
76.87,27,54774.77,235.35,Configurable fault-tolerant monitoring,Mcdonaldfort,Male,Kyrgyz Republic,2016-05-29 21:17:10,No
67.28,43,76246.96,155.8,Future-proofed coherent hardware,North Mercedes,Male,Pakistan,2016-04-03 21:13:46,Yes
81.98,40,65461.92,229.22,Ameliorated upward-trending definition,Taylorberg,Female,Seychelles,2016-04-15 11:51:14,No
66.01,23,34127.21,151.95,Front-line tangible alliance,Hansenmouth,Female,Samoa,2016-06-21 03:14:41,Yes
61.57,53,35253.98,125.94,Progressive 24hour forecast,Bradyfurt,Male,Bulgaria,2016-03-14 14:13:05,Yes
53.3,34,44893.71,111.94,Self-enabling optimal initiative,West Jessicahaven,Female,Mauritania,2016-05-06 21:07:31,Yes
34.87,40,59621.02,200.23,Configurable logistical Graphical User Interface,Davilachester,Female,Czech Republic,2016-06-12 17:52:43,Yes
43.6,38,20856.54,170.49,Virtual bandwidth-monitored initiative,North Ricardotown,Female,Chile,2016-01-11 07:36:22,Yes
77.88,37,55353.41,254.57,Multi-tiered human-resource structure,Melissafurt,Female,Poland,2016-07-02 00:24:22,No
75.83,27,67516.07,200.59,Managed upward-trending instruction set,East Brianberg,Female,Estonia,2016-03-04 10:13:48,No
49.95,39,68737.75,136.59,Cloned object-oriented benchmark,Millerbury,Female,Turkmenistan,2016-03-24 09:12:52,Yes
60.94,41,76893.84,154.97,Fundamental fault-tolerant neural-net,Garciaview,Female,Latvia,2016-02-14 07:30:24,Yes
89.15,42,59886.58,171.07,Phased zero administration success,Townsendfurt,Female,Fiji,2016-04-25 07:30:21,No
78.7,30,53441.69,133.99,Compatible intangible customer loyalty,Williamstad,Female,Turkey,2016-02-10 19:20:51,Yes
57.35,29,41356.31,119.84,Distributed 3rdgeneration definition,West Connor,Female,Kazakhstan,2016-04-23 14:34:38,Yes
34.86,38,49942.66,154.75,Pre-emptive cohesive budgetary management,West Justin,Female,Bahrain,2016-06-18 17:56:32,Yes
70.68,31,74430.08,199.08,Configurable multi-state utilization,Robertbury,Female,Colombia,2016-07-17 01:58:53,No
